Gene name	Mean of ratios
c17d1.07c	1.362
c17d11.01	0.874
c17d11.02c	1.289
c17d11.03c	2.242
c17d11.04c	1.174
c17d11.06	1.189
c17d11.08	1.453
c17d4.03c	1.061
c17f3.03c	0.796
c17g6.02c	1.255
c17g6.03	1.503
c17g6.05c	1.846
c17g6.07c	0.948
c17g6.10	0.810
c17g6.11c	0.822
c17g6.15c	0.639
c17g6.16c	1.281
c17g6.17	
c17g6.17.rc	1.273
c17g8.02	1.258
c17g8.03c	0.867
c17g8.04c	0.906
c17g8.05	0.652
c17g8.07	0.684
c17g8.08c	0.297
c17g8.09	0.699
c17g8.11c	1.026
c17g8.12	1.179
c17g8.13c	1.041
c17g9.02c	0.746
c17g9.03c	0.512
c17g9.04c	0.839
c17g9.05	1.160
c17g9.06c	1.117
c17g9.12c	1.442
c17g9.13c	1.381
c17h9.02	0.955
c17h9.03c	1.152
c17h9.04c	0.632
c17h9.05	0.527
c17h9.06c	1.070
c17h9.07	0.691
c17h9.08	0.837
c17h9.08.rc	1.050
c17h9.10c	1.210
c17h9.11	0.855
c17h9.12c	0.628
c17h9.13c	0.923
c17h9.14c	1.216
c17h9.16	0.610
c17h9.17c	1.278
c17h9.18c	1.224
c17h9.18c.rc	
c18.01c	0.414
c18.02	0.893
c18.03	1.057
c18.04	1.254
c18.05c	0.767
c18.06c	
c18.08	0.754
c18.09c	1.304
c18.10	
c18.11c	0.945
c18.12c	0.995
c18.13	1.266
c18.15	1.110
c18.16c	
c18.17c	
c1805.01c	0.950
c1805.02c	0.860
c1805.03c	0.729
c1805.04	0.943
c1805.07c	1.629
c1805.09c	1.016
c1805.10	1.279
c1805.14	1.119
c1805.15c	1.372
c1805.16c	1.019
c1827.01c	0.615
c1827.02c	1.030
c1827.03c	1.513
c1827.04	1.057
c1827.05c	0.674
c1827.06c	0.389
c1827.07c	1.662
c1827.08c	1.456
c1834.05	1.041
c1834.06c	0.901
c1834.09	1.502
c1834.10c	0.723
c1840.04	1.129
c1840.05c	0.950
c1840.06	
c1840.07c	0.669
c1840.08c	1.153
c1840.09	1.067
c1840.12	2.790
c1851.02	0.761
c186.01	1.155
c186.02c	
c186.03	1.920
c186.03.rc	1.957
c186.04c	1.584
c186.05c	1.719
c186.06	
c186.06.rc	
c186.07c	
c186.08c	
c186.09	2.698
c1861.03	0.848
c1861.04c	1.144
c1861.05	2.178
c1861.07	0.882
c1861.08c	0.765
c1861.09	0.901
c188.01c	
c188.04c	0.949
c188.05	
c188.07	1.162
c188.08c	1.690
c188.09c	1.468
c1884.01	0.561
c1884.01.rc	1.210
c18a7.01	1.221
c18a7.01.rc	1.409
c18a7.02c	1.064
c18b11.02c	0.559
c18b11.02c.rc	0.789
c18b11.03c	1.175
c18b11.04	1.155
c18b11.05	1.213
c18b11.06	0.579
c18b11.08c	0.644
c18b11.09c	1.856
c18b11.10	1.009
c18b11.11	1.099
c18b5.02c	4.145
c18b5.04	0.832
c18b5.05c	1.783
c18b5.06	0.832
c18b5.07c	
c18b5.08c	
c18b5.09c	1.080
c18b5.10c	1.153
c18b5.12	1.118
c18b5.13	0.877
c18e5.01	0.834
c18e5.01.rc	1.017
c18e5.02c	0.901
c18e5.03c	0.990
c18e5.05c	1.168
c18e5.07	0.903
c18e5.08	
c18e5.09c	1.475
c18e5.10	
c18e5.14c	1.441
c18e5.15	
c18g6.01c	1.275
c18g6.05c	1.214
c18g6.06	0.737
c18g6.09c	1.219
c18g6.10	1.212
c18g6.11c	0.642
c18g6.13	1.001
c18h10.01	0.727
c18h10.02	0.649
c18h10.05	1.376
c18h10.06c	0.738
c18h10.07	0.896
c18h10.08c	1.424
c18h10.09	1.478
c18h10.10c	1.189
c18h10.11c	1.226
c18h10.15	0.893
c18h10.16	1.055
c18h10.17c	1.124
c18h10.18c	0.995
c18h10.19	1.205
c18h10.20c	0.800
c18h10.21c	0.989
c1906.01	0.756
c1906.02c	1.342
c191.01	1.385
c191.02c	
c191.03c	0.470
c191.04c	1.179
c191.05c	
c191.06	
c191.08	
c191.09c	
c191.10	
c191.13	1.006
c1919.02	
c1919.03c	1.213
c1919.04	1.020
c1919.05	1.267
c1919.07	0.772
c1919.08c	0.885
c1919.11	
c1919.12c	1.694
c1919.13c	0.996
c1919.14c	1.327
c1921.02	0.955
c1921.04c	
c1921.06c	1.074
c1952.01	0.992
c1952.02	0.914
c1952.03	1.078
c1952.04c	1.217
c1952.05	0.861
c1952.06c	
c1952.08c	1.565
c1952.09c	1.194
c1952.10c	1.623
c1952.13	1.514
c1952.14c	0.798
c1952.15c	1.373
c1952.16	
c1952.16.rc	1.719
c19a8.02	0.990
c19a8.03	
c19a8.04	0.786
c19a8.06	1.700
c19a8.07c	0.583
c19a8.09	0.786
c19a8.10	1.221
c19a8.11c	0.912
c19a8.12	0.986
c19a8.13	0.932
c19a8.14	0.747
c19a8.15	0.682
c19b12.01	0.861
c19b12.02c	0.799
c19b12.05c	1.049
